Winning team,Winning team score,Losing team,Losing team score,Map,Player,ACS,Kills,Deaths,Assists,KAST,ADR
Sentinels,2,Evil Geniuses,0,2 Haven,TenZ,345,24,/ 14 /,4,79%,207
Sentinels,3,FNATIC,0,1 Split,TenZ,268,24,/ 22 /,8,77%,163
Sentinels,3,FNATIC,0,2 Bind,TenZ,323,33,/ 19 /,13,93%,197
Sentinels,3,FNATIC,0,3 Haven,TenZ,277,22,/ 20 /,4,75%,176
Sentinels,2,NUTURN,0,1 Bind,TenZ,273,19,/ 12 /,7,89%,148
Sentinels,2,NUTURN,0,2 Haven,TenZ,296,19,/ 10 /,2,88%,171
Sentinels,2,Team Vikings,0,1 Icebox,TenZ,266,19,/ 13 /,4,70%,141
Sentinels,2,Team Vikings,0,2 Haven,TenZ,309,21,/ 9 /,2,84%,184
Sentinels,2,FNATIC,0,1 Icebox,TenZ,277,25,/ 18 /,7,75%,144
Sentinels,2,FNATIC,0,2 Haven,TenZ,316,24,/ 16 /,8,78%,197
Sentinels,3,Version1,0,1 Bind,TenZ,253,18,/ 12 /,4,81%,142
Sentinels,3,Version1,0,2 Haven,TenZ,260,21,/ 13 /,4,64%,159
Sentinels,3,Version1,0,3 Icebox,TenZ,285,22,/ 19 /,5,59%,169
Sentinels,2,Cloud9,1,1 Haven,TenZ,244,19,/ 16 /,7,71%,133
Sentinels,2,Cloud9,1,2 Split,TenZ,141,6,/ 15 /,2,36%,96
Sentinels,2,Cloud9,1,3 Icebox,TenZ,244,17,/ 11 /,3,68%,161
Sentinels,2,100 Thieves,1,1 Haven,TenZ,224,20,/ 17 /,4,71%,112
Sentinels,2,100 Thieves,1,2 Icebox,TenZ,143,7,/ 15 /,4,50%,87
Sentinels,2,100 Thieves,1,3 Bind,TenZ,352,20,/ 10 /,8,82%,174
Sentinels,2,Version1,1,1 Ascent,TenZ,151,8,/ 16 /,3,47%,95
Sentinels,2,Version1,1,2 Haven,TenZ,257,16,/ 12 /,5,74%,169
Sentinels,2,Version1,1,3 Split,TenZ,218,11,/ 17 /,5,63%,143
Sentinels,3,Cloud9,0,1 Bind,TenZ,346,22,/ 11 /,6,82%,230
Sentinels,3,Cloud9,0,2 Haven,TenZ,267,18,/ 11 /,8,84%,175
Sentinels,3,Cloud9,0,3 Split,TenZ,232,20,/ 20 /,8,77%,152
Sentinels,2,NRG Esports,0,1 Split,TenZ,251,18,/ 11 /,5,85%,163
Sentinels,2,NRG Esports,0,2 Ascent,TenZ,224,24,/ 24 /,9,75%,137
Sentinels,2,Andbox,1,1 Haven,TenZ,211,16,/ 18 /,3,65%,138
Sentinels,2,Andbox,1,2 Ascent,TenZ,152,8,/ 15 /,4,41%,92
Sentinels,2,Andbox,1,3 Split,TenZ,423,30,/ 10 /,6,79%,228
Sentinels,2,Immortals,0,1 Haven,TenZ,322,30,/ 16 /,5,77%,175
Sentinels,2,Immortals,0,2 Ascent,TenZ,238,15,/ 13 /,6,79%,142
Sentinels,2,T1,1,1 Haven,TenZ,,17,/ 19 /,2,,
Sentinels,2,T1,1,2 Split,TenZ,272,19,/ 17 /,7,87%,166
Sentinels,2,T1,1,3 Icebox,TenZ,198,13,/ 18 /,9,74%,134
Andbox,2,Sentinels,0,1 Haven,TenZ,342,32,/ 20 /,8,68%,199
Andbox,2,Sentinels,0,2 Split,TenZ,182,13,/ 21 /,5,58%,130
Sentinels,2,Noble,0,1 Haven,TenZ,268,19,/ 15 /,3,79%,172
Sentinels,2,Noble,0,2 Ascent,TenZ,257,19,/ 14 /,5,80%,162
Sentinels,2,Rise,0,1 Ascent,TenZ,209,14,/ 8 /,2,69%,112
Sentinels,2,Rise,0,2 Haven,TenZ,198,14,/ 14 /,6,73%,135
Sentinels,2,Grapefruit Techniques,0,1 Ascent,TenZ,288,17,/ 9 /,3,80%,157
Sentinels,2,Grapefruit Techniques,0,2 Icebox,TenZ,299,20,/ 14 /,6,75%,160
Sentinels,2,Neebs and Weebs,0,1 Haven,TenZ,247,14,/ 7 /,2,87%,173
Sentinels,2,Neebs and Weebs,0,2 Split,TenZ,364,26,/ 9 /,6,84%,212
Sentinels,2,Valkyrie,0,1 Haven,TenZ,368,20,/ 5 /,6,93%,205
Sentinels,2,Valkyrie,0,2 Icebox,TenZ,328,19,/ 12 /,6,78%,195
Built By Gamers,2,Sentinels,0,1 Ascent,TenZ,172,10,/ 15 /,0,44%,107
Built By Gamers,2,Sentinels,0,2 Haven,TenZ,189,11,/ 16 /,3,72%,100
Sentinels,2,Soniqs,0,1 Icebox,TenZ,213,13,/ 22 /,10,70%,142
Sentinels,2,Soniqs,0,2 Split,TenZ,352,18,/ 6 /,3,92%,218
Sentinels,2,Interstate 95,0,1 Split,TenZ,301,14,/ 6 /,5,86%,192
Sentinels,2,Interstate 95,0,2 Icebox,TenZ,232,11,/ 10 /,10,75%,164
Sentinels,2,The Noah Aiello,0,1 Ascent,TenZ,378,22,/ 5 /,4,93%,209
Sentinels,2,The Noah Aiello,0,2 Haven,TenZ,283,15,/ 8 /,5,87%,179
Sentinels,3,FaZe Clan,0,1 Ascent,TenZ,240,18,/ 18 /,4,,151
Sentinels,3,FaZe Clan,0,2 Bind,TenZ,260,18,/ 11 /,9,,166
Sentinels,3,FaZe Clan,0,3 Haven,TenZ,235,17,/ 7 /,1,,124
Sentinels,2,FaZe Clan,0,1 Icebox,TenZ,337,21,/ 10 /,4,,183
Sentinels,2,FaZe Clan,0,2 Haven,TenZ,235,18,/ 13 /,4,,142
Sentinels,2,100 Thieves,0,1 Ascent,TenZ,285,15,/ 10 /,5,,149
Sentinels,2,100 Thieves,0,2 Haven,TenZ,236,25,/ 16 /,3,,124
Sentinels,2,Luminosity,1,1 Ascent,TenZ,298,21,/ 18 /,6,,165
Sentinels,2,Luminosity,1,2 Split,TenZ,284,21,/ 21 /,9,,227
Sentinels,2,Luminosity,1,3 Icebox,TenZ,427,27,/ 15 /,9,,276
T1,2,Cloud9,0,1 Ascent,TenZ,151,10,/ 19 /,8,,98
T1,2,Cloud9,0,2 Bind,TenZ,300,23,/ 15 /,3,,190
Cloud9,2,Spacestation Gaming,1,1 Bind,TenZ,,,/   /,,,
Cloud9,2,Spacestation Gaming,1,2 Split,TenZ,320,24,/ 14 /,3,,154
