Agent,Player team,Opposite team,Winning team,Winning team score,Losing team,Losing team score,Map,Player,ACS,Kills,Deaths,Assists,KAST,ADR
reyna,Sentinels,Cloud9,Sentinels,2,Cloud9,1,2 Split,TenZ,141,6,/ 15 /,2,36%,96
reyna,Sentinels,Cloud9,Sentinels,2,Cloud9,1,3 Icebox,TenZ,244,17,/ 11 /,3,68%,161
jett,Sentinels,100 Thieves,Sentinels,2,100 Thieves,1,1 Haven,TenZ,224,20,/ 17 /,4,71%,112
reyna,Sentinels,100 Thieves,Sentinels,2,100 Thieves,1,2 Icebox,TenZ,143,7,/ 15 /,4,50%,87
reyna,Sentinels,100 Thieves,Sentinels,2,100 Thieves,1,3 Bind,TenZ,352,20,/ 10 /,8,82%,174
jett,Sentinels,Version1,Sentinels,2,Version1,1,1 Ascent,TenZ,151,8,/ 16 /,3,47%,95
jett,Sentinels,Version1,Sentinels,2,Version1,1,2 Haven,TenZ,257,16,/ 12 /,5,74%,169
reyna,Sentinels,Version1,Sentinels,2,Version1,1,3 Split,TenZ,218,11,/ 17 /,5,63%,143
reyna,Sentinels,Cloud9,Sentinels,3,Cloud9,0,1 Bind,TenZ,346,22,/ 11 /,6,82%,230
jett,Sentinels,Cloud9,Sentinels,3,Cloud9,0,2 Haven,TenZ,267,18,/ 11 /,8,84%,175
reyna,Sentinels,Cloud9,Sentinels,3,Cloud9,0,3 Split,TenZ,232,20,/ 20 /,8,77%,152
reyna,Sentinels,NRG Esports,Sentinels,2,NRG Esports,0,1 Split,TenZ,251,18,/ 11 /,5,85%,163
jett,Sentinels,NRG Esports,Sentinels,2,NRG Esports,0,2 Ascent,TenZ,224,24,/ 24 /,9,75%,137
jett,Sentinels,Andbox,Sentinels,2,Andbox,1,1 Haven,TenZ,211,16,/ 18 /,3,65%,138
